"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"karn","कर्ण","the ear","hypotenuse","diagonal",""
"karnkatu","कर्णकटू","jarring","grating","harsh",""
"karnadhar","कर्णधार","a skipper","captain","helmsman",""
"karnapatal","कर्णपटल","the eardrum","","",""
"karnbhushan","कर्णभूषण","an ear ornament","ear ring","",""
"karnmadhur","कर्णमधुर","sweet","tuneful","melodious",""
"karnmadhurya","कर्णमाधुर्य","sweetness","musicality","euphony",""
"karnresha","कर्णरेषा","a diagonal","","",""
"karna","कर्णा","a megaphone","","",""
"karnika","कर्णिका","the middle finger","","",""
"kartan","कर्तन","cutting","","",""
"kartabgar","कर्तबगार","able","capable","competent",""
"kartari","कर्तरी","active","","",""
"kartavya","कर्तव्य","duty","business","job",""
"kartavyachyuti","कर्तव्यच्युती","derelication of duty","neglect","neglectfulness",""
"kartavyaparayan","कर्तव्यपरायण","dutiful","","",""
"kartavyabuddhi","कर्तव्यबुद्धी","a sense of duty","","",""
"karta","कर्ता","a doer","subject","the head of household",""
"kartutva","कर्तुत्व","ability","capability","accomplishment",""
"kardankal","कर्दनकाळ","a tyrant","oppressor","dictator",""
"karpur","कर्पूर","camphor","","",""
"karm","कर्म","active","doing ","action",""
"karmkand","कर्मकांड","ritual","","",""
"karmgati","कर्मगति","fate","destiny","",""
"karmachari","कर्मचारी","an employee","worker","",""
"karmath","कर्मठ","strait-laced","puritanical","moralistic",""
"karmshala","कर्मशाळा","a workshop","","",""
"karshitra","कर्षित्र","a tractor","","",""
"kal","कल","an inclination","leaning","tendency",""
"kalai","कलई","tinning","plating with tin","",""
"kalank","कलंक","a blot","blemish","stigmatize",""
"kalkal","कलकल","cackle","clamour","din",""
"kalkalat","कलकलाट","squawk","noise","clamour",""
"kalankit","कलंकित","stained","tainted","tarnished",""
"kalagi","कलगी","a comb","crest","cockscomb",""
"kalane","कलणे","to lean","incline","tilt",""
"kalam","कलम","a pen","cutting","clause",""
"kalami","कलमी","grafted","","",""
"kalash","कलश","a pitcher","","",""
"kalah","कलह","to tilt","tip","",""
"kala","कला","art","skill","craft",""
"kalakar","कलाकार","an artist","actor","understudy",""
"kalakusar","कलाकुसर","fine","embroidery","",""
"kalakruti","कलाकृती","an artistic work","a work","a piece",""
"kalakaushalya","कलाकौशल्य","art and skill","","",""
"kalagruh","कलागृह","a studio","","",""
"kalatani","कलाटणी","a twist","turn","",""
"kaladalan","कालादालन","art gallery","","",""
"kalapathak","कलापथक","a troupe of artistes","","",""
"kalapurn","कलापूर्ण","artistic","","",""
"kalapradarshan dalan","कलाप्रदर्शन दालन","art gallery","","",""
"kalabatu","कलाबतू","tinsel","","",""
"kalal","कलाल","a brewer","","",""
"kalavant","कलावंत","an artist","","",""
"kalavastu","कलावस्तू","a work of art","","",""
"kalingad","कलिंगड","a watermelon","","",""
"kalushit","कलुषित","prejudiced","biassed","jaundiced",""
"kalp","कल्प","an age","era","period",""
"kalpak","कल्पक","imaginative","creative","innovative",""
"kalpana","कल्पना","an idea","notion","conception",""
"kalpanachitra","कल्पनाचित्र","a mental image","","",""
"kalpanatit","कल्पनातीत","unimaginable","beyond imagination","inconceivable",""
"kalpanashakti","कल्पनाशक्ती","imagination","imaginative power","creativity",""
"kalpanashunya","कल्पनाशून्य","unimaginative","uninspired","commonplace",""
"kalpik","कल्पिक","imaginable","thinkable","conceivable",""
"kalyan","कल्याण","welfare","good","prosperity",""
"kalyankari","कल्याणकारी","beneficial","welfare","",""
"kalla","कल्ला","noise","clamour","sideboard",""
"kav","कव","embrace","hug","cuddle",""
"kavak","कवक","fungus","","",""
"kavach","कवच","shell","","",""
"kavatalane","कवटाळणे","to cuddle","hug","embrace",""
"kavati","कवटी","the cranium","skull","braincase",""
"kavath","कवठ","a wood-apple","","",""
"kavada","कवडा","a partridge","","",""
"kavadi","कवडी","a penny","a cowrie","a farthing",""
"kavadicha","कवडीचा","worthless","trashy","of no worth",""
"kavadichumbak","कवडीचुंबक","miserly","niggardly","stingy",""
"kavayitri","कवयित्री","a poetess","","",""
"kavali","कवळी","a row of teeth","","",""
"kavait","कवाईत","a drill","parade","manoeuvres",""
"kavad","कवाड","a door","","",""
"kavita","कविता","a poem","poetry","ballad",""
"kavi","कवी","a poet","bard","",""
"kashaprakare","कशाप्रकारे","what kind of?","what sort of?","of what kind?",""
"kashasathi","कशासाठी","why","what…for?","",""
"kashida","कशिदा","embroidery","","",""
"kashi","कशी","how","","",""
"kashta","कष्ट","labour","toil","pains",""
"kashtakari","कष्टकरी","a labourer","blue-collar","",""
"kashtakarak","कष्टकारक","difficult","hard","strenuous",""
"kashtadayak","कष्टदायक","painful","","",""
"kashtacha","कष्टाचा","laborious","strenuous","onerous",""
"kashtane","कष्टाने","laboriously","arduously","with difficulty",""
"kashtalu","कष्टाळू","industrious","diligent","hardworking",""
"kashti","कष्टी","distressed","depressed","cheerless",""
"kas","कस","essence","strength","test",""
"kans","कंस","a bracket","parenthesis","",""
"kaskas","कसकस","feverishness","","",""
"kasane","कसणे","to till","","",""
"kasadar","कसदार","wholesome ","nutrious","",""
"kasab","कसब","art","skill","knack",""
"kasar","कसर","moth","lapse","flaw",""
"kasarat","कसरत","exercise","","",""
"kasala","कसला","of what kind","what kind of","",""
"kasavat","कसवट","a touchstone","","",""
"kasa","कसा","how","","",""
"kasaai","कसाई","a butcher","","",""
"kasaaikhana","कसाईखाना","a slaughter-house","abattoir","",""
"kasatari","कसातरी","somehow","","",""
"kasabasa","कसाबसा","hardly","barely","narrowly",""
"kasahi","कसाही","however","","",""
"kasun","कसून","rigorously","thoroughly","meticulously",""
"kasur","कसूर","fault","","",""
"kasetari","कसेतरी","somehow","","",""
"kasebase","कसेबसे","somehow","","",""
"kasehi","कसेही","at random","","",""
"kasoti","कसोटी","a test","trial","touchstone",""
"kasoshine","कसोशीने","diligenty","meticulously","",""
"kasturi","कस्तुरी","musk","","",""
"kahar","कहर","extremity","climax","apex",""
"kahani","कहाणी","a tale","story","yarn",""
"kahyat","कह्यात","under control","","",""
"kal","कळ","a button","trigger","pain",""
"kalkat","कळकट","dirty","soiled","grimy",""
"kalkal","कळकळ","fervour","ardour","earnestness",""
"kalane","कळणे","to know","come to know","learn",""
"kalap","कळप","a flock","drove","pack",""
"kalfalak","कळफलक","a keyboard","","",""
"kalavane","कळवणे","to inform","make known","intimate",""
"kalvala","कळवळा","fellow-feeling","compassion","sympathy",""
"kalash","कळस","acme","apex","top",""
"kala","कळा","glow","lustre","radiance",""
"kali","कळी","a bud","flower bud","flowerlet",""
"kaksha","कक्ष","a chamber","room","ward",""
"kaksha","कक्षा","a spherer","sweep","compass",""
"ka","का","why?","what---for?","for what reason?",""
"kaak","काक","a crow","","",""
"kaakadane","काकडणे","to shiver with cold","to freeze","",""
"kaakadi","काकडी","cucumber","","",""
"kankan","कांकण","a bangle","bracelet","",""
"kaakdrushti","काकदृष्टी","keen sight","","",""
"kaakpad","काकपद","a caret","","",""
"kaakavi","काकवी","treacle","molasses","",""
"kaakalut","काकळूत","entreaty","supplication","",""
"kaka","काका","uncle","paternal uncle","",""
"kaku","काकू","aunt","auntie","paternal aunt",""
"kakum","काकूं","hesitation","","",""
"kakh","काख","the armpit","underarm","",""
"kagad","कागद","paper","","",""
"kagadopatri","कागदोपत्री","documentary","","",""
"kaangaaroo","कांगारू","kangaroo","","",""
"kangava","कांगावा","fuss","outcry","",""
"kagali","कागाळी","backbitting","calumny","",""
"kach","काच","glass","","",""
"kanchan","कांचन","gold","","",""
"kaaj","काज","buttonhole","","",""
"kanjanya","कांजण्या","chickenpox","","",""
"kajava","काजवा","a firefly","fire fly","glow-worm",""
"kajal","काजळ","lampblack","soot","",""
"kanji","कांजी","starch","","",""
"kaju","काजू","cashew","cashew-nut","",""
"katak","काटक","hardy","wiry","sinewy",""
"katakasar","काटकसर","economy","thrift","frugalness",""
"katkasari","काटकसरी","economical","thrifty","frugal",""
"katkula","काटकुळा","gaunt","scraggy","lank",""
"katkon","काटकोन","a right angle","right angled","",""
"katakyakutakya","काटक्याकुटक्या","sticks and twings","kindling","",""
"kata","काटा","a thorn","spine","scales",""
"kati","काटी","a hedge","","",""
"katekor","काटेकोर","exact","accurate","rigid",""
"kateri","काटेरी","thorny","prickly","barbed",""
"kath","काठ","shore","bank","border",""
"kathinya","काठीण्य","hardness","","",""
"kathi","काठी","a stick","staff","walking stick",""
"kathokath","काठोकाठ","to the brim","","",""
"kand","कांड","an incident","scandal","",""
"kadkan","काडकन","with a crack","","",""
"kandane","कांडणे","to pound","grind","crush",""
"kadatus","काडतूस","a cartridge","","",""
"kadi","काडी","a straw","a match","a chopstick",""
"kandi","कांडी","a stick","pastel","wand",""
"kadipeti","काडीपेटी","a matchbox","","",""
"kadipailvan","काडीपैलवान","a bag of bones","","",""
"kadimod","काडीमोड","split","breakup","seperation",""
"kande","कांडे","a joint","","",""
"kadhane","काढणे","to remove","to draw","to pull of",""
"kadha","काढा","concentrate","infusion","extract",""
"kankun","काणकूण","a wispher","murmur","",""
"kana","काणा","cross-eyed","squint-eyed","",""
"kanadola","काणाडोळा","connivance","","",""
"kat","कात","slought of a snake","","",""
"katadi","कातडी","skin","hide","learther",""
"katane","कातणे","to spin","","",""
"katar","कातर","scissors","shears","",""
"kantiman","कांतिमान","lustrous","glowing","radiant",""
"kantihin","कांतिहीन","lacklustre","dull","",""
"kanti","कांती","glow","lustre","radiance",""
"katran","कात्रण","a clipping","cutting","",""
"katri","कात्री","scissors","a pair of scissors","shears",""
"kath","काथ","catechu extract","","",""
"katha","काथा","coir","","",""
"kathyakut","काथ्याकुट","hair-splitting","","",""
"kadambari","कादंबरी","a novel","","",""
"kanda","कांदा","an onion","","",""
"kaan","कान","the ear","a handle","",""
"kanughadani","कानउघडणी","rebuke","reproach","reprimand",""
"kaangoshti","कानगोष्ट","a whisper","","",""
"kaandukhi","कानदुखी","earache","otalgia","",""
"kaanpichakya","कानपिचक्या","rebuke","scolding","telling-off",""
"kaanmantra","कानमंत्र","wise counsel","","",""
"kaanshil","कानशील","the temple","","",""
"kanas","कानस","a file","","",""
"kanakopara","कानाकोपरा","a nook","corner","",""
"kanadola","कानाडोळा","connivance","","",""
"kaap","काप","a slice","a cut","incision",""
"kaapad","कापड","cloth","material","fabric",""
"kaapani","कापणी","cutting","moving","reaping",""
"kapane","कापणे","to cut","to tremble","shake",""
"kapara","कापरा","tremulous","shivery","trembling",""
"kapare","कापरे","shudder","shivering fit","",""
"kapakapi","कापाकापी","indiscriminate killing","carnage","",""
"kapur","कापूर","camphor","","",""
"kapus","कापूस","cotton","","",""
"kafala","काफला","a caravan","","",""
"kamb","कांब","a rod","","",""
"kambale","कांबळे","a rug","blanket","",""
"kabadkashta","काबाडकष्ट","toil","labour","",""
"kabij","काबीज","captured","","",""
"kabu","काबू","control","","",""
"kam","काम","work","job","duty",""
"kamkari","कामकरी","a labourer","","",""
"kamkaj","कामकाज","proceedings","","",""
"kamgar","कामगार","a worker","employee","labourer",""
"kamgiri","कामगिरी","performance","showing","mission",""
"kamchalau","कामचलाऊ","working","provisional","passable",""
"kamchukar","कामचुकार","working","idle","loafing",""
"kamchor","कामचोर","a shirker","slacker","dodger",""
"kamjivan","कामजीवन","sex life","","",""
"kamdhanda","कामधंदा","work","occupation","business",""
"kamana","कामना","a wish","desire","ambition",""
"kamwali","कामवाली","a maid","domestic help","woman",""
"kamasu","कामसू","hardworking","industrious","diligent",""
"kamacha","कामाचा","useful","of use","serviceable",""
"kamathi","कामाठी","a labourer","","",""
"kamatur","कामातुर","lascivious","lustful","lecherous",""
"kamuk","कामुक","amorous","desirous","sensual",""
"kay","काय","what?","how","",""
"kayada","कायदा","a law","act","statute",""
"kayadekanoon","कायदेकानून","rules and regulations","","",""
"kayadepandit","कायदेपंडित","a jurist","","",""
"kayadebhang","कायदेभंग","breach of the law","","",""
"kayademandal","कायदेमंडळ","legislature","","",""
"kayadeshir","कायदेशीर","legal","lawful","legitimate",""
"kayam","कायम","permanently","perpetually","eternally",""
"kaya","काया","body","","",""
"kayik","कायिक","bodily","physical","",""
"kaar","कार","a car","","",""
"karak","कारक","an agent","doer","causative factor",""
"karkird","कारकीर्दी","a regime","career","",""
"karkun","कारकून","a clerk","","",""
"karkhandar","कारखानदार","an industrialist","","",""
"karkhana","कारखाना","a factory","mill","plant",""
"karanje","कारंजे","a fountain","","",""
"karan","कारण","a cause","reason","point",""
"karanmimansa","कारणमीमांसा","argument","rationalisation","",""
"kartus","कारतूस","a cartridge","","",""
"karbhar","कारभार","management","administration","",""
"karbhari","कारभारी","an administrator","manager","",""
"karbharin","कारभारीण","a hostess","","",""
"karale","कारले","a bitter gourd","","",""
"karwai","कारवाई","action","activity","",""
"karsthan","कारस्थान","a conspiracy","scheme","plot",""
"karagiri","कारागिरी","artistry","skill","craft",""
"karagir","कारागिर","artisan","craftsman","artificer",""
"karagruh","कारागृह","a jail","gaol","prison",""
"karavas","कारावास","imprisonment","incarceration","confinement",""
"karunya","कारुण्य","compassion","mercy","pity",""
"karya","कार्य","a function","job","operation",""
"karyakarta","कार्यकर्ता","an activist","worker","the rank and file",""
"karyakarannyay","कार्यकारणन्याय","the law of cause and effect","","",""
"karyakaranbhav","कार्यकारणभाव","cause and effect","","",""
"karyakarini","कार्यकारिणी","executive body","executive committee","",""
"karyashala","कार्यशाळा","tenure","","",""
"karyakushal","कार्यकुशल","competent","efficient","",""
"karyakram","कार्यक्रम","a programme","function","agenda",""
"karyakrampatrika","कार्यक्रमपत्रिका","schedule","programme","agenda",""
"karyapaddhati","कार्यपद्धती","procedure","method","working",""
"karyapranali","कार्यप्रणाली","methodology","modus operandi","method",""
"karyapravan karane","कार्यप्रवण करणे","to activate","actuate","set in motion",""
"karyabhar","कार्यभार","workload","charge","",""
"karyarat","कार्यरत","active","working","",""
"karyavahu","कार्यवाह","a secretary","","",""
"karyavahi","कार्यवाही","execution","implementation","action",""
"karyavyapt","कार्यव्याप्त","busy","","",""
"karyashala","कार्यशाळा","a workshop","","",""
"karyasamiti","कार्यसमिती","executive committee","working committee","",""
"karyasuchi","कार्यसूची","agenda","","",""
"karyaksham","कार्यक्षम","efficient","competent","capable",""
"karyakshetra","कार्यक्षेत्र","area","field","sphere",""
"karyadhyaksha","कार्याध्यक्ष","the chief executive","","",""
"karyanubhav","कार्यानुभव","work experience","","",""
"karyanvayan","कार्यान्वयन","implementation","execution","",""
"karyalaya","कार्यालय","an office","","",""
"karyavali","कार्यावली","agenda","","",""
"kal","काल","time","yesterday","last",""
"karyakram","कार्यक्रम","chronology","","",""
"kalkraman","कालक्रमण","the passage of time","the passing of time","",""
"kalkhand","कालखंड","age","period","era",""
"kalgananashashtra","कालगणनाशास्त्र","chronology","","",""
"kalchakra","कालचक्र","the cycle","wheel of time","",""
"kaltray","कालत्रय","the past","present and future","",""
"kaldand","कालदंड","death","","",""
"kalpurush","कालपुरुष","the messenger of death","","",""
"kalbahya","कालबाह्य","outdated","antiquated","outmoded",""
"kalmaryada","कालमर्यादा","time limit","time frame","",""
"kalman","कालमान","circumstances","","",""
"kalmapan","कालमापन","chronometry","time measurement","",""
"kalav","कालव","oyster","mussel","",""
"kalvad","कालवड","a heifer","","",""
"kalavane","कालवणे","to mix","mix up","",""
"kalavash hone","कालवश होणे","to die","pass away","",""
"kalava","कालवा","a canal","waterway","",""
"kalavakalav","कालवाकालव","meddling","interference","",""
"kalviparyay","कालविपर्यय","anachronism","","",""
"kalvisangat","कालविसंगत","anachronistic","anachronic","out of date",""
"kalhin","कालहीन","timeless","","",""
"kalantarane","कालांतराने","with time","over time","in the course of time",""
"kalatit","कालातीत","timeless","","",""
"kalanukram","कलानुक्रम","chronology","","",""
"kalavadhi","कालावधी","a period of time","duration","span",""
"kalpanik","काल्पनिक","imaginary","unreal","fictitious",""
"kavkav","कावकाव","cawing sound","","",""
"kavad","कावड","a sling-pole","","",""
"kavarabavara","कावराबावरा","frantic","frenzied","panicky",""
"kavala","कावळा","a crow","","",""
"kava","कावा","cunning","craftiness","artifice",""
"kavil","कावीळ","jaundice","","",""
"kavebaj","कावेबाज","crafty","cunning","artful",""
"kavya","काव्य","poetry","","",""
"kashtha","काष्ठ","wood","","",""
"kashthoshadhi","काष्ठोषधी","a medicinal plant","","",""
"kaas","कास","udder","","",""
"kaasav","कासव","a tortoise","turtle","",""
"kaasavis","कासावीस","agonized","agitated","troubled",""
"kaase","कासे","bronze","pewter","",""
"kastakaar","कास्तकार","a farmer","","",""
"kaasya","कास्य","bronze","","",""
"kahi","काही","some","a few","any",""
"kahitari","काहीतरी","something","","",""
"kahisa","काहीसा","somewhat","sort of","a little",""
"kahihi","काहीही","anything","whatever","",""
"kahur","काहूर","uproar","commotion","chaos",""
"kal","काळ","time","duration","period",""
"kalaji","काळजी","worry","caregulness","care",""
"kalajikarak","काळजीकारक","worrying","upsetting","unsettling",""
"kalajipurvak","काळजीपूर्वक","carefully","with care","",""
"kalajimukta","काळजीमुक्त","carefree","free from worry","nonchalant",""
"kalajivahu","काळजीवाहू","caretaker","","",""
"kalzop","काळझोप","death","","",""
"kalnidra","काळनिद्रा","death","","",""
"kalpat","काळपट","dark","","",""
"kalpurush","काळपुरुष","the messenger of death","","",""
"kalavandane","काळवंडणे","to darken","blacken","tan",""
"kalvit","काळवीट","an antelope","stag","buck",""
"kalsar","काळसर","blackjsh","","",""
"kala","काळा","black","black-complexioned","dark-complexioned",""
"kala kulkulit","काळा कुळकुळीत","jet-black","pitch-black","coal-black",""
"kalanila","काळानिळा","black and blue","to beast someone black and blue","",""
"kalisa","काळीसा","a stain","stigma","blot",""
"kali","काळी","arable","rich","black",""
"kalij","काळीज","the heart","","",""
"kalber","काळेबेरे","trickery","fraud","deceitfulness",""
"kalebhor","काळेभोर","raven","","",""
"kalokh","काळोख","dark ","darkenss","gloom",""
"kalokhi","काळोखी","dark","murky","gloomy",""
"kollar","कॉलर","a collar","","",""
"kinkalane","किंकाळणे","to scream","squeal","screech",""
"kinkali","किंकाळी","a scream","squeal","shriek",""
"kichkat","किचकट","complicated","difficult","complex",""
"kinchalane","किंचाळणे","yell","bawl","cry out",""
"kinchali","किंचाळी","a scream","shriek","yell",""
"kinchit","किंचित","slightly","briefly","a little",""
"kijbid","कीजबिड","illegible","unreadable","squiggly",""
"kitkit","कीटकीट","grouse","grumble","gripe",""
"kitan","किटण","plaque","tartar","",""
"kitak","कीटणे","to contract rust","to get soiled","to get fed up",""
"kitali","किटली","a kettle","","",""
"kidaka","किडका","decayed","worm-eaten","",""
"kidkidit","कीडकिडीत","emaciated","gaunt","scraggy",""
"kidane","किडणे","to decay","rot","get rotten",""
"kida","किडा","an insect","worm","",""
"kidamungi","किडामुंगी","insects","","",""
"kidukmiduk","किडूकमिडूक","trinkets","bric-a-brac","",""
"kinkin","किणकिण","clink","tinkle","jingle",""
"kinkinane","किणकिणणे","to clink","tinkle","jingle",""
"kitpat","कितपत","to what extent","how far","",""
"kitava","कितवा","of what number","","",""
"kitab","किताब","a title","","",""
"kiti","किती","how much","how many","how",""
"kitik","कितीक","how many","many","countless",""
"kintu","किंतू","a doubt","misgiving","suspicion",""
"kitta","कित्ता","an example","model","pattern",""
"kityek","कित्येक","several","a number of","",""
"kinar","किनार","a border","edge","edging",""
"kinarpatti","किनारपट्टी","coastline","","",""
"kinara","किनारा","bank","edge","side",""
"kifayatshir","किफायतशीर","economic","","",""
"kimbahuna","किंबहुना","probably","it may be","maybe",""
"kimmat","किंमत","price","cost","rate",""
"kimati","किमती","costly","expensive","rich",""
"kimaya","किमया","alchemy","","",""
"kiman","किमान","minimum","least","lowest",""
"kirkir","किरकिर","grumbling","whining","",""
"kirkol","किरकोळ","minor","small","petty",""
"kiran","किरण","a ray","beam","glimmer",""
"kiranotsarga","कीरणोस्तर्ग","radiation","radioactivity","",""
"kiranotsargi","कीरणोस्तर्गी","radioactive","","",""
"kiranopachar","किरणोपचार","radiotherapy","","",""
"kirmiji","किरमिजी","crimson","magenta","scarlet",""
"kirana","किराणा","groceries","","",""
"kirit","किरीट","a crown","","",""
"kirr","किर्र","dense","","",""
"kilkil","किलकिल","cry","call","tweet",""
"kilbil","किलबिल","chirp","chatter","chirping",""
"kibilat","किलबिलाट","chirp","tweet","trilling",""
"kilmish","किल्मिष","sin","filth","",""
"killa","किल्ला","a fort","castle","citadel",""
"killi","किल्ली","a key","","",""
"kinvadanti","किंवदंती","a rumour","hearsay","",""
"kinva","किंवा","or","","",""
"kishor","किशोर","a young boy","an adolescent","a minor",""
"kishorvayin","किशोरवयीन","teenage","teenaged","",""
"kishoravastha","किशोरावस्था","boyhood","minority","teenage",""
"kishori","किशोरी","a young girl","teenage girl","adolecent girl",""
"kisani","किसणी","a grater","","",""
"kisane","किसणे","to grate","","",""
"kismis","किसमिस","a raisin","currant","",""
"kisaan","किसान","a peasant","farmer","cultivator",""
"kissa","किस्सा","an anecdote","a story","",""
"kilas","किळस","disgust","nuasea","aversion",""
"kilasvana","किळसवाणा","sickening","nauseating","nasty",""
"ki","कि","or ","that","",""
"kit","कीट","tartar","scale","plaque",""
"kitak","कीटक","an insect","a worm","",""
"kitaknash","कीटकनाशक","insecticide","pesticide","",""
"kitakbhakshi","कीटकभक्षी","insectivorous","","",""
"kitakshashtra","कीटकशास्त्र","entomology","","",""
"kitakalay","किटकालय","an insectarium","","",""
"kid","कीड","rot","decay","canker",""
"kirti","कीर्ती","renown","fame","name",""
"kiv","कीव","compassion","pity","",""
"kis","कीस","grated something","grated coconut","filings",""
"ku","कु","bad","evil","",""
"kuikui","कुईकुई","howling","","",""
"kukarma","कुकर्म","an evil act","","",""
"kukarmi","कुकर्मी","evil","wicked","",""
"kukule bal","कुकुले बळ","an infant","a baby","",""
"kunku","कुंकू","vermilion","red bad","",""
"kunkuchaku","कुकूचकू","cock-a-doodle-doo","","",""
"kukkut","कुक्कुट","a cock","","",""
"kukkutpalan","कुक्कुटपालन","poultry-farming","","",""
"kukhyat","कुख्यात","notorious","infamous","illfamed",""
"kuchkami","कुचकामी","worthless","useless","good-for-nothing",""
"kuchambana","कुचंबाणा","a dilemma","fix","predicament",""
"kucharai","कुचराई","shirking","dodging","evasion",""
"kuchala","कुचला","a brush","","",""
"kuncha","कुंचा","a broom","","",""
"kunchalaki","कुंचाळकी","slander","","",""
"kucheshtha","कुचेष्टा","mockery","mischief","",""
"kunja","कुंज","an arbour","bower","",""
"kujkat","कुजकट","rotten","putrid","foetid",""
"kujaka","कुजका","rotten","musty","",""
"kujat","कुजट","rotten","putrid","foetid",""
"kujane","कुजणे","to rot","putrefy","decay",""
"kujbuj","कुजबुज","a whisper","murmer","mutter",""
"kujavane","कुजवणे","decompose","rot","putrefy",""
"kuntankhana","कुंटणखाना","a brothel","bordello","whorehouse",""
"kutane","कुटणे","to pound","crush","",""
"kutana","कुटाणा","toil","trouble","bother",""
"kutalaki","कुटाळकि","slander","gossip","mischief",""
"kutalkhor","कुटाळखोर","a slanderer","backbiter","",""
"kutali","कुटाळी","slander","gossip","mischief",""
"kutil","कुटील","crooked","devious","wicked",""
"kuti","कुटी","a cottage","hut","",""
"kutir","कुटीर","a cottage","hut","",""
"ktirodyog","कुटीरोद्योग","a cottage industry","","",""
"kutumb","कुटुंब","a family","household","",""
"kutumbniyojan","कुटुंबनियोजन","family planning","birth control","",""
"kutumbpramukh","कुटुंबप्रमुख","the head of a family","household","",""
"kutumbvatsal","कुटुंबवत्सल","fond of one's wife and children","","",""
"kutumbswamini","कुटुंबस्वामिनी","matriarch","","",""
"kutumbiy","कुटुंबीय","a family member","","",""
"kuthala","कुठला","where ?","somewhere","anywhere",""
"kunthane","कुंठ्ने","to stop","to be blocked","",""
"kunthit","कुंठीत","obstructed","arrested","retarted",""
"kuthe","कुठे","where ?","whither ?","somewhere",""
"kund","कुंड","a basin","pit","tank",""
"kudkudane","कुडकुडणे","to shiver","tremble","shake",""
"kundal","कुंडल","an earring","","",""
"kundali","कुंडली","horoscope","stars","to be in agreement",""
"kundi","कुंडी","a bin","pot","flowerpot",""
"kudum kudum","कुडुम कुडुम","crunching sound","","",""
"kudhane","कुढणे","to brood","to fret","",""
"kunkun","कुणकुण","a whisper","murmur","",""
"kunabi","कुणबी","a peasant","","",""
"kunikade","कुणीकडे","whither ?","which way?","",""
"kutuhal","कुतुहूल","curiosity","interest","eagerness",""
"kutra","कुत्रा","a dog","","",""
"kutri","कुत्री","a bitch","","",""
"kutsit","कुत्सित","contemptuous","scornful","disdainful",""
"kunthane","कुंथणे","to groan","moan","",""
"kudal","कुदळ","a pick","pickaxe","",""
"kumpan","कुंपण","a fence","hedge","",""
"kupi","कुपी","a bottle","flask","phial",""
"kuputra","कुपुत्र","a bad son","","",""
"kuposhan","कुपोषण","malnutrition","malnourishment","",""
"kuposhit","कुपोषित","malnourished","underfed","",""
"kuprasiddha","कुप्रसिद्ध","notorious","infamous","ill-famed",""
"kubat","कुबट","musty","fusty","stuffy",""
"kubad","कुबड","a hump","hunch","",""
"kubada","कुबडा","hump-backed","hunch-backed","",""
"kumbhakar","कुंभकार","a potter","","",""
"kumb rashi","कुभ राशी","th sign Aquarius","","",""
"kubhad","कुभाड","fabrication","frame-up","trumped-up charge",""
"kumbhar","कुंभार","a potter","","",""
"kumak","कुमक","reinforcements","help","",""
"kumar","कुमार","a young boy","","",""
"kumaravastha","कुमारावस्था","adolescence","","",""
"kumarika","कुमारिका","a maiden","damsel","virgin",""
"kumari","कुमारी","a young unmarried girl","Miss","",""
"kumarga","कुमार्ग","an evil path","","",""
"kumudini","कुमुदिनी","a water-lily","","",""
"kurkur","कुरकुर","grumble","murmur","mutter",""
"kurkurit","कुरकुरीत","crisp","crispy","crunchy",""
"kurghodi","कुरघोडी","leapfrog","","",""
"kuran","कुरण","a meadow","pasture","green",""
"kurtadane","कुरतडणे","to gnaw","to nibble","",""
"kurbur","कुरबुर","grumbling","bickering","squabble",""
"kurvalane","कुरवाळणे","to fondle","stroke","caress",""
"kurale","कुरळे","curly","curling","curled",""
"kurapat","कुरापत","aggression","mischief","",""
"karukshetra","कुरुक्षेत्र","a battle-field","battle-ground","",""
"kurup","कुरूप","ugly","unattractive","hideous",""
"kurnisat","कुर्निसात","obeisance","salutation","",""
"kurhad","कुऱ्हाड","a axe","a hatchet","",""
"kulkalnk","कुलकलंक","a black sheep","stain on one's family","disgrace to one's family",""
"kalguru","कुलगुरू","vice-chancellor","","",""
"kulchinha","कुलचिन्ह","coat-of -arms","crest","totem",""
"kuldaivat","कुलदैवत","a family god","deity","",""
"kulnam","कुलनाम","surname","family name","",""
"kalpati","कुलपती","chancellor","","",""
"kulpurush","कुलपुरुष","an ancestor","","",""
"kulpramukh","कुलप्रमुख","patriarch","matriarch","",""
"kulvant","कुलवंत","well-born","high-born","blue-blooded",""
"kushagrabuddhi","कुशाग्रबुद्धी","acumen","penetration","perspicacity",""
"kushi","कुशी","side of the body","","",""
"kushtharog","कुष्ठरोग","leprosy","","",""
"kushtharogi","कुष्ठरोगी","a leper","a leprosy sufferer","",""
"kukarane","कुसकरणे","to mash","to macerate","",""
"kusangati","कुसंगती","a bad company","","",""
"kusum","कुसुम","a flower","","",""
"kusti","कुस्ती","wrestling","","",""
"kustigir","कुस्तीगीर","a wrestler","","",""
"kuli","कुळी","pedigree","family","race",""
"kuch","कूच","march","","",""
"katu","कटू","powder","","",""
"kutniti","कुटनीती","diplomacy","Machiavellianism","",""
"kutprashna","कुटप्रश्न","a conundrum","puzzle","riddle",""
"kup","कूप","a well","","",""
"kurcha","कुर्चा","gristle","cartilage","",""
"kurm","कूर्म","a tortoise","","",""
"kus","कूस","side of the body","belly","",""
"kul","कुळ","family ","descent","blood",""
"krutaknam","कृतकनाम","a pseudonym","","",""
